Age;Experience;Income;ZIP Code;Family;CCAvg;Education;Mortgage;Personal Loan;Securities Account;CD Account;Online
24,68587793;-1,678780251;21,05946305;94306,33581;4;1;1;0;0;0;0;0
49;24;42,77771645;90286,03117;4;1;3;0;0;0;0;1
44;20;70,69906102;92748,70603;1;27;2;0;0;1;0;0
38;14;76,49528843;90641,01745;1;29;3;0;0;0;0;0
53;26,4469033;90,45334112;90069,62174;4;14;2;0;0;0;0;1
58;34;29,0111275;90882,62392;4;4;2;0;0;0;0;0
38,26824658;12,12691404;41,5493534;90955,69453;1;15;3;0;0;0;0;1
23;-3;8;96651;1;7;1;0;0;0;0;0
57;32;31,04303102;95616;2;3;1;0;0;0;0;1
55,34075521;28,48153093;42,71195768;95052,04645;1;2;1;0;0;0;0;1
66,41256225;40;33,50114976;95054,18227;1;11;3;0;0;1;0;1
67;43;181,1709894;9307;4;17;3;215;0;0;1;0
23;-3;8;96651;1;7;1;0;0;0;0;0
27;2;28;95035,01124;4;1;3;0;0;1;0;0
27,92422289;3,379622912;140,7364025;94610,149;1;15;1;0;0;0;0;1
44;18;77,05894601;94606,85337;4;1;2;0;0;0;0;1
39,72698753;17;84,10150322;91324,45085;1;37;3;0;0;0;0;1
42;15,45422782;26,59945249;94720;2;4;1;0;0;0;0;1
63;35;51,78788726;91954,53028;2;2;3;0;0;0;0;1
58;30;34;92722,67014;2;6;3;193;0;0;0;0
31;5,127633928;27,16708409;92358,60654;4;4;2;0;0;0;0;0
50;25;70,51856367;90095;4;13;2;0;0;0;0;1
43,47400005;18;71,2643606;94512,4156;4;7;2;0;0;0;0;1
44;17;28;92356,4238;4;3;3;102;0;0;0;1
54;31;40,95942401;95057,40949;3;15;1;0;0;0;0;1
26,08889801;2,856162222;115,7752833;94068,68635;1;15;1;0;0;0;0;0
52;27;40,32182566;94135,70785;4;1;2;144;0;0;0;1
31;5;44,36355719;90024,89886;3;24;2;0;0;0;0;1
41;18,64517436;81,43385776;92702,51334;4;11;3;0;1;0;1;1
31;7;39;95009,85518;2;1;2;0;0;0;0;0
66,93957551;42,88955941;26,16958306;95616;3;1;3;0;0;0;0;0
63,30649106;39,52474591;39;95017,60735;3;23;3;0;0;0;0;0
35;9,736239589;32,84534901;92385,53058;2;14;2;0;0;0;0;0
58;32;89,29437574;94958,97371;4;267;1;0;0;0;0;0
49,37978879;25,71338897;10,10192539;94984,50749;4;4;1;0;0;0;0;1
23;-3;8;95572,99771;4;26;1;84;0;1;0;1
58;32;92,09537081;95830,16371;1;3;1;151;0;1;0;0
45;19;39,25133708;94708,06829;3;15;1;94;0;0;0;1
63,23569432;38,51798718;133,9947649;90030,63526;1;47;1;0;0;0;0;0
47,88090844;23;104,5342126;92680,4347;1;0;1;0;0;0;0;1
35;10;128,0455612;90288,6054;1;19;1;202;0;0;0;0
27,00915293;5,602475532;62,19943019;90915,55377;3;1;2;0;0;0;0;1
23;-3;8;96651;1;7;1;0;0;0;0;0
46,9737781;23;168,9391507;92526,61622;1;47;1;0;0;0;0;0
49;25;85;95129,17112;2;2;1;0;0;0;1;1
50;26;105,9781183;90095;2;11;1;0;0;1;0;0
31,05674257;7,132065882;170,0539217;92010,63943;4;32;2;0;1;0;0;0
25;-1,792692823;61,31109872;92371,52731;2;3;3;0;0;0;0;0
63,04139447;38,77811887;99,21571516;91282,46973;3;25;1;0;0;0;0;0
44,54425938;20;93,97973582;35190,54536;1;51;3;0;1;0;0;1
45,36873342;20,26207746;51,4997874;95826,85172;2;8;3;0;0;0;0;0
61,40780183;37,087835;9,853719797;90870,10379;4;5;2;0;0;0;0;1
42;20;60,91663937;92029,13029;4;267;1;0;0;1;0;0
51;27;40;90182,59283;1;8;3;117;0;0;0;0
34;7;44;93993,4518;2;24;2;0;0;0;0;1
62,32675673;35,4968895;72,59161792;94305;3;3;2;0;0;0;0;0
49,75612235;24,13007907;127,8356872;94075,3169;2;27;1;352;0;0;0;1
67;42,99798223;39;90090,63743;2;11;1;0;0;1;0;1
41,0736977;16;59,22900881;91540,27002;1;25;3;0;0;0;0;1
48;22,00450526;30;92097,74159;3;1;3;0;0;0;0;1
49,89535173;25;68,55631237;90336,63539;2;18;3;0;0;0;0;0
42;16;13,83832009;93116,18406;1;4;3;0;0;0;0;0
58;31;8,280868217;90741,33983;4;7;3;0;0;0;0;1
62,83857257;37,97250254;136,9943845;94105,16725;1;9;1;0;0;0;0;0
62;36;38;92150,15053;4;6;3;0;0;0;0;0
47,5269143;22;49,26060265;92470,62368;2;6;3;0;0;0;0;1
35;8,001475877;12,83944025;94714,2128;4;3;1;0;0;0;0;1
23;-2,999884674;8;96651;3;7;1;0;0;0;0;0
43;18,43700573;111,628349;94081,3893;1;43;1;0;0;0;0;0
57,08524298;32;70,44355382;92133,00152;1;16;2;0;0;0;0;0
63;38;20,45689778;90026,2055;3;3;1;0;0;0;0;1
38;13,46432828;30;94025,18795;3;7;2;153;0;0;0;0
45;20;130,4003365;91247,22839;1;26;1;160;0;0;0;0
53;26,08072511;59,88183729;90087,4294;1;14;3;0;0;0;0;1
53;29;65,57503946;94742,99264;4;26;1;0;0;0;0;0
27;2;68,48549056;90095;4;22;1;87;0;0;0;1
23;-3;8;95032,45649;4;26;1;84;0;1;0;1
58;32;164,6897302;94625,42538;1;29;1;0;0;0;0;0
58;33;130,1737346;92651,24679;2;7;2;0;1;0;0;0
42;17,93580559;52,79429439;95831,09038;1;14;3;75;0;0;0;1
50;23;34,64375212;91894,32832;4;7;3;0;0;0;0;0
23;-3;8;96651;1;7;1;0;0;0;0;1
33;10;78,45452254;90415,4154;2;28;1;0;0;0;0;1
45;22;40;94298,12295;2;0;1;0;0;0;0;1
36;11,7587647;110,644066;91284,23656;1;0;1;0;0;0;0;1
44;17;54,30008173;94117,55266;3;15;1;0;0;0;0;1
62;37;161,1560058;94305,74324;2;23;2;0;1;0;0;0
39;13;86,55639156;92147,74793;4;367;2;0;0;0;0;0
32,34652529;7;136,3273769;93509,4042;2;18;1;0;0;0;0;1
26,95572027;3;24,5543914;92282,92728;4;1;1;94;0;0;0;1
27,68411713;3;80,65613419;90242,29442;1;54;1;0;0;0;0;1
50;22;13,13816951;94708,22375;4;6;3;0;0;0;0;0
59;35;39;91010,39782;3;22;1;0;0;0;0;1
51;27;30,49348955;95050,45023;1;13;1;0;0;0;0;1
47;21,64081409;64,86408723;92607,58858;3;1;1;193;0;0;0;0
53;29;40;90095;4;1;3;0;0;0;0;0
62,53889785;38,12539355;143,3063253;92207,87619;2;5;1;0;0;0;0;1
53;26,94779329;109,0309678;94704,05903;2;25;1;0;0;0;0;0
37;13;84,41176109;90684,798;2;25;1;0;0;0;0;1
32;5;25,42714765;95136,31718;4;4;1;0;0;0;0;1
23;-3;8;96141,11609;4;26;1;84;0;1;0;1
40;13;95,1471368;91331,59754;2;28;1;0;0;0;0;0
62;35,8868712;81,47473162;92130,19485;4;16;2;0;0;0;0;1
36;11;53;92387,79721;1;27;2;0;0;0;0;1
51;24;137,4638877;90285,61874;1;17;1;0;0;0;0;0
61,62634656;35;21,80467952;94121,88248;1;8;2;0;0;0;0;0
58;30,54563336;28;95021,83384;2;2;3;0;0;0;0;1
63,54611132;37,46678503;39,03987899;91521,96338;3;4;2;0;0;1;0;0
23,00263979;-2,99392005;8;96651;4;7;1;0;0;0;0;1
32,98307627;6;31,70378121;95016,15743;1;25;3;0;0;0;0;0
26;4,748094846;175,5615414;92112,39384;1;0;1;0;0;0;0;1
63;38,62787868;84,74433574;94006,04529;2;28;1;193;0;0;0;1
41;13,8444787;42;94106,3984;2;21;3;0;0;0;0;1
25,81394304;1,169491271;30,14927623;94305;3;24;2;0;0;0;0;1
39;13;145,6285573;90095;1;3;1;0;0;0;0;1
32;5,920418326;8,127099204;95820,04536;2;3;2;99;0;1;0;0
32,16080804;6;42;92384,4937;4;3;1;0;0;0;0;1
35,12763209;12;32,82353808;94304,97237;1;13;2;0;0;0;1;1
34;8;13,22198922;90422,35998;1;1;2;0;0;0;0;1
58,30993248;32;36,86042392;92658,7633;2;15;3;0;0;0;0;0
34,05363444;19;8;95868,66426;4;7;1;0;0;1;0;0
44,48483553;19;112,5597936;94026,61151;1;3;1;0;0;0;0;1
23;-3;8;96650,93287;4;7;2;0;0;0;0;1
37,77992057;13,99786831;92,52572268;93341,42257;2;0;1;0;0;0;0;0
47;27;8;95050,03562;2;1;1;0;0;0;0;0
62,03918416;37;109,8034061;90024,9401;2;7;2;200;0;0;0;1
54;28,56194287;69,8027722;92994,59209;1;18;3;166;0;0;0;1
47,11970716;20;30;91371,51171;4;8;1;0;0;0;0;1
61;34;132,2886142;90401,72386;2;45;3;400;1;0;0;0
49,04818585;27;44;95136,48943;1;18;2;0;0;0;0;1
50;28,84369984;130,4721037;90027,62093;1;13;1;0;0;0;0;1
41;16,28064301;28,78592511;94304,50528;1;14;3;0;0;0;0;0
23,00052031;-2,966154772;8;96651;4;7;1;0;0;0;0;1
53;30,41590317;44,41081938;94683,77701;2;21;3;0;0;0;0;0
46,80416688;25;18,49983051;91319,62899;4;1;1;0;0;1;0;0
61;34,59214657;45,00853484;94305;1;25;3;0;0;0;0;1
60,99826979;35;68,97777908;94008,80246;3;14;3;0;0;0;0;0
40;15,47079487;49,25835726;94541,7057;4;0;2;0;0;0;0;1
30;4;40;95819,23266;1;8;3;118;0;0;0;0
53,60674522;27,96067915;82,27668691;95817,37633;3;44;1;0;0;0;0;1
32;6;44;90095;1;24;2;0;0;1;0;1
30;4,289808808;11,27743059;95889,87871;4;6;2;0;0;0;0;1
57;31,78382602;41,09907004;92059,75847;2;267;2;0;0;0;0;0
26,68332733;-0,432607217;88,10266247;90277,50715;4;2;3;0;0;0;0;1
41,2680627;19;38;94584,04859;1;4;3;0;0;0;0;0
55,65637513;27,9537941;83;94107,68638;1;15;3;0;0;0;0;1
23;-3;8;96651;3;7;1;0;0;0;0;1
61;36;83,85745896;90035,10227;2;5;2;0;0;0;0;1
64,98400716;40;72,57189141;95818,73267;3;18;2;0;0;0;0;0
37,92171716;12;113,7512597;93066,58755;1;27;1;0;0;0;0;1
23,15483112;-1,742681468;72,54878725;92106,07204;2;18;2;0;0;0;0;1
57;32;150,0352065;94129,51208;1;24;1;366;0;1;0;1
57;30,91608337;21;96317,4508;4;8;1;0;0;0;0;1
35;11,56949571;74,88718527;92118,45038;1;15;3;0;0;0;0;1
52;29;37,41981822;94149,94143;4;22;2;0;0;0;0;1
44;18,35028933;30,23608545;94303,74437;4;3;1;0;0;0;0;1
25,36577627;1,280538149;41,22088362;94625,20227;1;18;2;111;0;0;1;1
23;-3;8;96651;1;7;1;0;0;0;0;1
40;15,54389403;68,16893509;94575,73877;1;6;3;0;0;0;0;0
51;25;30;94609,43111;1;2;1;0;0;0;0;0
62,22842086;36;41,82470957;90031,52778;3;3;2;0;0;1;0;0
43,6687824;19;23;91779,46063;1;2;1;0;0;0;0;1
62;36,33110622;70,67659456;90840,77279;4;17;3;0;0;0;0;0
23;-3;8;96651;4;7;2;0;0;0;0;1
32;7,894848036;58,1097959;93114,39701;2;18;1;0;0;0;0;1
51,0523335;26;118,571121;95830,14018;1;25;2;0;1;0;0;1
35;13;30;90095;3;0;1;108;0;0;0;0
48;22;42;91751,37226;1;2;1;0;0;0;0;1
40;16;173,5447693;91763,59238;2;68;1;0;0;0;0;1
57,75521288;32,202825;81,32792826;91112,37382;4;6;1;0;1;0;1;0
27,30052896;3;57,85139465;85368,80608;2;1;3;0;0;0;0;0
58,23259688;34;18,35171861;95926,75765;1;2;1;0;0;0;0;0
50,74158723;24,64267245;21,85839916;94720;2;1;2;0;0;0;0;1
61;34;63,11596561;95818,09836;2;1;3;137;0;0;0;1
41,91530542;16;30;92024,29155;1;1;1;0;0;1;0;1
50;25;70,2807372;94085,41535;1;37;3;0;0;0;0;1
25;1,989314468;8;96650,81955;4;7;1;0;0;0;0;0
44;19,63204356;83;92071,33952;1;21;3;0;0;0;0;0
62;37,98892441;49,43959584;91359,20552;3;1;3;0;0;0;0;1
40;16,96905697;81,66296672;94305;2;5;3;0;0;0;0;1
23,00056195;-1,872938528;8,565996296;95053,96448;4;1;1;84;0;0;0;1
53;29;82,67619307;95027,48824;4;34;2;0;0;0;0;1
53;24,45488035;50,01624149;92653,90193;4;22;3;0;0;0;0;1
44,18234826;22;163,4088275;92146,60662;2;7;1;196;0;0;0;1
31;6;40;94720;2;12;3;0;0;1;0;1
54;29;157,690913;94303,84345;2;27;1;0;0;0;0;1
59;33,63060027;39,2732363;92650,52124;2;7;3;0;0;0;0;0
46;23;59,05531907;92063,07911;2;2;1;249;0;0;0;1
23,0792942;-1,591160022;41,0229909;94804,56282;4;1;2;0;0;0;0;1
28,8737721;1;44,73072231;93230,94038;3;2;3;0;0;0;0;0
43;19;73,11953982;90575,4303;1;22;3;0;0;0;0;0
59;31,63110821;28;94308,01523;4;22;3;83;0;0;0;0
59;34;83;90091,13085;2;21;3;0;0;0;0;0
48,35679395;23;44;94009,9687;1;3;3;0;0;0;1;1
23;-3;8;96651;4;7;2;0;0;0;0;0
67;43;129,5526696;9307;4;17;3;215;0;0;1;1
36,66237823;13;81,86556262;90183,90958;4;8;1;130;0;0;0;1
28;4,187746867;119,9165436;90790,99406;4;2;1;0;0;0;0;1
58;32,85752775;77,36543161;95616;1;15;1;0;0;0;0;1
49,32647059;19;106,5658637;93107,30075;1;65;3;0;0;1;0;0
67;43;100,0664685;94600,73221;2;11;1;0;0;0;1;1
31,70378845;7,491502354;21,82163126;91327,81545;1;5;3;0;0;0;0;0
62;37,58330828;33,49193261;93867,17364;3;5;1;0;0;1;1;1
65,71383364;39,17105804;76,20922952;94609,36645;3;2;1;0;0;1;0;0
63;38;13,25629586;94826,05362;1;8;2;118;0;0;0;0
25,6740737;1,685017731;67,68472053;92333,48939;4;16;1;0;0;0;0;0
38,26061407;13;41,94897147;92675,04083;2;16;3;0;0;0;0;1
67;43;143,703876;9307;4;17;3;215;0;0;1;0
27;1,398602523;21;94006,38327;2;9;3;0;0;0;0;0
26;-0,028449005;130,9355368;92098,18614;4;22;3;0;0;0;0;1
47;24,48299588;132,6021999;94544,31413;2;39;1;207;0;0;0;1
30;4,455190868;94,82465817;57046,76404;2;2;1;199;0;0;0;0
34,74890508;9;121,7703587;95536,54501;2;19;1;0;0;0;0;1
57;32;29,8785588;95814,02711;4;7;1;0;0;0;0;1
42;18;48,89005709;93087,96921;1;1;1;0;0;0;0;0
67;43;221,3714504;9307;4;17;3;215;0;0;1;0
29;3,554282369;81,30760979;95177,56515;1;15;3;0;0;0;0;1
45;17,56565172;43;92101,61387;4;18;3;0;0;0;0;1
42;14;115,6214356;91343,1528;2;17;2;0;0;0;0;1
27,78555021;2,75594628;184,5057714;94094,66727;1;15;1;0;0;0;0;1
32;7,704528571;142,6858014;92170,01141;2;33;1;0;0;0;0;0
58,41779578;32,10228126;28,05839207;91377,28788;4;7;1;0;0;0;0;1
25,78079191;0,359519649;49,89421254;91393,31997;4;4;1;0;0;0;0;1
23;-3;8;96651;1;7;1;0;0;0;0;0
25,78598737;-1,092780249;135,9396344;92703,25286;4;23;3;0;0;0;0;0
28;1;46,0420095;92101,85079;4;11;3;0;0;0;0;0
33,89128682;7;81;90976,96028;4;4;1;0;0;0;0;1
56,10110077;31;83;94718,95605;2;18;2;0;0;0;0;0
54,49116697;24;34;95816,92193;2;28;1;0;0;0;0;1
29;4;126,9435759;91314,68191;1;43;3;0;1;0;0;1
30,60162954;5,141193141;30,72040846;95038,21392;3;5;3;0;0;0;0;0
55;29;61,27397516;91253,79681;3;2;2;0;0;0;0;1
51,57326843;25,74878699;41,59216647;90396,72682;3;22;3;0;0;0;0;1
41,6295984;12,35669949;31,18242659;90237,5871;1;75;3;0;0;0;0;0
28;3;104,64706;92012,46147;2;2;1;0;0;0;0;1
23;-2,999916496;42,74859349;90030,19255;4;18;1;84;0;1;0;1
35;10,78463188;60,40200423;94121,14462;4;18;3;0;0;0;0;0
62;36;64,10709348;94579,55705;4;24;1;86;0;0;0;1
49;24,73656357;51,90533551;90037,189;3;2;2;0;0;0;0;1
41;17;74,51381367;94857,15586;4;22;1;0;0;0;0;1
43;20;59,99428593;94308,96261;4;19;1;0;0;0;0;0
34;7;80,16971834;91311,72561;4;2;3;0;0;0;0;0
46;20,38881056;65,246092;95262,89543;2;25;1;135;0;0;0;0
23;-3;8;95830,78975;4;26;1;84;0;1;0;1
27,57366044;4;122,1339529;91719,33129;1;26;2;0;0;0;0;1
28;2,887366586;111,0906079;90039,73777;2;34;1;0;0;0;0;0
30;5;71,15234117;94545,55558;4;22;2;126;0;0;0;0
52;27;52,3595446;92360,0835;2;7;2;147;0;0;0;1
49,3457589;22;80,04290131;95815,91475;4;26;3;0;0;0;0;0
63,72305524;39,33342059;54,58043105;92147,83635;4;13;2;0;0;0;0;0
54,37549223;28;70,20572206;90094,5224;2;27;1;240;0;0;0;0
55;25;70,81481049;90250,72231;4;11;3;0;0;0;0;1
44,57523976;19;44,97586587;92364,80462;1;2;1;0;0;0;0;1
27;5,872746636;8;96648,8639;4;7;1;0;0;0;0;0
33,04580203;6;142,5181361;94247,70015;2;65;3;0;1;0;0;0
63;37;39,65916222;94025,27915;4;25;2;185;0;0;0;1
50;25;82,29512353;90280,29617;2;63;1;0;0;1;0;1
60;34,28379667;91,21189636;90243,60021;3;23;3;0;0;0;0;0
23,62369477;-2,511148169;63,50696255;95416,40423;2;17;2;0;0;0;0;0
36,40210276;14,14884563;123,9295937;93050,08225;1;47;1;0;0;0;0;1
29,13541564;3,280395633;39,97559236;92378,97884;2;1;2;0;0;1;1;1
46;20;192,2930656;94784,31991;2;63;1;0;1;0;0;1
44;16;52,20337842;90024,95589;1;6;3;0;0;0;0;0
46;20,69654494;30;92567,62713;3;6;2;0;0;0;0;1
23;-3;8;96651;4;26;1;84;0;1;0;1
61;36;87,76138632;92120,65894;2;16;3;249;0;0;0;0
65;40;21;93764,84388;2;1;1;0;0;0;0;1
40;14;34;94132,0417;2;0;1;0;0;0;0;1
37,93896995;10,25899869;30,13705107;94111,45629;1;2;1;0;0;0;0;1
54,2365744;29,38517905;44;94982,19399;4;7;1;0;0;0;0;1
50,4573618;27;126,6490457;94121,08575;2;68;1;0;0;0;0;1
24,49936398;-1,270829935;80,09577567;91110,43988;4;23;3;0;0;0;0;1
40,13133489;17;123,7728213;92363,28632;1;86;1;0;0;0;0;1
23;-3;8;96651;1;7;1;0;0;0;0;0
32;5;28,37876303;94676,05304;4;6;2;0;0;0;0;0
25,43875699;2,61450414;8;95948,63262;4;1;2;0;0;0;0;0
47;20,19574884;29,94334381;92162,61565;1;13;2;0;0;0;0;1
