ZIP Code,Family,CCAvg,Education,CreditCard
93555,3,1.0,3,1
95670,2,0.3,2,0
93311,4,1.3,1,1
94704,3,0.1,2,0
92717,4,2.9,1,1
92037,1,0.7,1,0
95136,1,0.6,3,0
94542,1,2.8,1,0
91330,3,1.0,2,0
94143,4,1.3,2,0
91775,3,1.0,1,0
92703,2,2.8,1,0
92354,3,0.5,3,0
92024,3,1.8,2,0
92831,1,1.5,2,0
92833,2,2.3,3,0
92647,3,3.0,1,0
94304,1,4.6,1,0
90057,2,0.2,3,0
91711,3,0.9,3,0
94523,2,0.7,2,1
92130,1,3.6,2,0
92121,4,2.4,1,0
91301,3,0.5,1,0
92096,2,1.3,1,1
92646,1,2.7,2,0
92182,2,0.0,1,0
92131,3,0.5,3,1
94801,3,1.5,1,0
93720,4,7.2,2,1
90840,2,1.75,3,0
90245,3,1.1,2,0
95035,3,1.8,2,0
93010,4,2.1,1,1
95035,4,2.5,2,0
95054,2,0.4,1,0
94928,3,1.5,1,1
93305,1,1.2,3,0
90245,2,0.4,3,1
95831,3,2.0,1,1
91770,1,2.1,3,1
94117,4,1.6,1,1
92093,2,1.5,2,0
90007,1,7.4,1,1
94102,1,2.67,2,1
94542,4,3.6,3,0
91423,2,0.4,1,0
93955,3,2.2,2,0
94107,2,7.5,1,1
92834,3,6.5,3,1
93117,1,1.3,1,1
94551,2,1.0,1,1
92612,4,1.3,3,0
94596,4,1.6,1,0
92131,4,0.4,1,1
94025,4,2.67,1,1
94720,2,1.5,3,1
94545,4,1.7,2,0
95819,4,6.5,3,0
95053,2,2.8,1,0
90036,1,2.0,1,0
91125,4,2.6,1,0
95120,2,1.1,1,0
94706,1,1.5,1,0
95827,3,1.0,2,0
94305,3,0.9,3,1
91320,4,1.0,1,0
90503,4,2.1,3,1
90250,2,2.0,1,0
95817,3,0.4,1,0
92717,2,7.8,1,0
90095,4,1.5,1,1
95503,2,7.9,2,0
91711,4,1.1,2,0
93111,3,1.0,2,0
94132,4,1.8,2,0
95818,4,0.2,1,1
91942,1,0.1,1,0
90401,2,1.0,3,0
93524,4,0.7,2,0
95133,1,1.5,1,0
92173,3,4.1,1,0
92717,2,1.5,2,0
91320,1,1.0,3,0
95616,1,0.3,1,1
94305,3,1.9,3,0
91320,2,2.1,1,0
94043,2,1.4,1,0
92521,1,4.3,1,0
90404,1,0.3,3,0
92122,1,2.67,2,0
93118,4,0.6,1,1
92697,2,6.8,1,0
94577,4,1.0,1,0
93407,1,5.0,1,1
91345,4,0.7,1,0
94123,4,0.0,1,0
92152,1,5.1,3,1
91355,1,1.9,3,1
94609,2,1.4,3,1
94306,4,2.0,2,0
95747,4,2.2,1,0
96150,2,1.9,2,0
95616,4,1.4,2,1
91355,1,1.0,1,0
94115,4,0.1,2,0
94110,4,2.67,1,1
94707,4,3.1,1,1
92131,2,0.0,1,0
94720,1,0.2,1,0
91604,2,1.7,1,0
91326,1,7.4,1,0
90291,1,1.9,2,0
95818,2,0.0,1,1
95521,2,0.6,1,0
94305,3,3.0,1,0
92807,3,0.3,3,0
94707,1,2.2,3,1
92130,2,0.3,1,1
95051,2,1.7,2,0
94306,3,2.5,1,0
95014,3,1.0,3,0
94305,4,1.8,3,0
94720,1,1.5,3,1
94085,2,1.7,2,0
94551,2,7.5,1,1
92677,4,1.9,3,1
93117,2,1.7,1,1
94720,1,2.8,2,0
94304,4,2.1,3,0
94122,3,2.5,2,0
91320,4,1.7,1,0
95616,1,0.8,2,0
94720,4,1.8,3,0
93407,3,0.5,3,1
92521,1,1.8,3,0
95831,3,0.2,1,1
94112,4,1.7,2,0
90089,1,1.2,1,0
91711,1,1.4,3,1
94005,1,3.7,3,0
90095,3,7.9,3,0
94025,4,0.8,1,0
92614,2,1.0,2,0
94025,2,0.6,3,1
92626,4,2.7,2,0
92121,2,1.4,1,1
90089,3,2.6,3,1
94305,3,1.0,2,0
92182,2,6.2,2,0
91711,3,2.2,1,1
94583,1,0.0,1,0
91942,3,3.9,3,0
92103,2,0.7,3,1
92697,4,2.3,3,1
92691,3,0.5,1,1
95747,4,0.3,1,0
94107,1,1.4,1,0
92407,1,0.0,1,1
93106,2,1.2,3,0
90245,1,0.3,3,1
92121,4,1.8,2,1
90840,2,0.7,1,0
94305,4,0.6,3,0
94720,2,1.5,1,0
90504,1,2.9,1,0
94002,1,2.5,1,0
95039,1,0.75,3,0
94063,4,2.2,1,0
94923,4,1.4,2,0
95023,4,0.2,1,1
90095,3,0.5,3,0
95616,4,2.2,1,1
94706,4,1.8,3,0
90058,4,0.5,3,0
92126,4,1.0,3,0
91125,4,1.0,1,0
94577,2,3.9,1,0
92121,4,2.1,3,0
94118,4,2.6,3,1
91711,4,0.7,3,0
90029,3,0.5,2,0
92806,3,0.5,3,0
94305,3,2.33,2,0
94806,3,0.6,2,0
92110,3,0.7,2,1
94306,2,4.3,3,0
92121,3,1.0,2,1
92373,1,4.9,1,0
90089,3,0.67,2,0
94542,4,0.8,1,1
90095,4,2.6,3,0
94536,1,2.0,1,0
94304,2,1.7,3,1
90623,1,0.0,1,0
93720,3,1.4,3,0
92069,2,3.2,1,0
90057,1,5.5,3,0
92843,4,1.3,1,0
92120,2,6.9,1,0
94550,2,7.5,1,0
95605,4,3.0,1,0
90740,1,0.1,1,0
91207,1,1.3,1,0
92373,3,0.8,1,1
90401,1,1.4,3,0
94720,2,4.33,1,1
95929,1,3.8,1,0
90277,4,0.9,1,1
94550,1,7.3,1,0
91741,1,0.67,3,0
93720,3,2.3,1,1
93437,2,0.7,3,0
90630,3,0.3,3,0
95054,1,1.6,2,0
91335,2,4.2,2,0
95670,4,1.8,3,0
90034,3,0.7,2,1
90266,1,0.8,2,0
92717,3,4.4,2,0
92007,1,3.9,1,0
90034,1,4.4,1,0
90089,4,6.1,1,0
95039,1,1.9,2,1
95616,1,1.3,3,1
91330,2,2.0,1,0
94110,3,0.5,2,1
90064,1,6.33,1,0
92374,4,1.0,2,0
94115,3,1.0,1,0
95630,1,0.8,2,0
92407,1,2.5,1,0
95053,1,1.3,2,0
95827,2,0.3,1,1
95051,3,2.6,2,0
94117,1,1.4,3,0
93657,2,2.0,1,0
92110,4,1.4,2,0
93524,1,2.6,1,1
92038,4,2.0,2,0
91304,2,3.3,1,1
93407,1,0.67,3,0
92606,3,1.4,3,1
92192,4,0.5,2,0
90745,3,2.7,2,0
94305,2,1.6,3,1
95060,4,6.6,1,1
93407,2,3.0,1,0
94301,1,1.0,3,0
92182,4,5.3,2,0
92692,4,1.0,2,1
95818,4,1.1,2,0
90277,2,1.4,1,0
92101,3,0.3,3,1
94704,2,0.4,3,0
94610,1,2.0,2,0
94539,2,4.33,1,0
93106,1,1.9,3,0
94539,4,1.3,1,0
90254,2,7.5,1,0
94590,2,1.4,1,1
92691,2,1.7,2,0
92028,3,1.0,3,1
90089,1,6.8,2,0
92717,1,0.3,3,0
95054,2,2.0,2,0
92054,2,1.0,3,0
95051,2,2.5,1,1
92101,4,1.0,1,0
92029,4,0.7,1,0
93105,4,0.7,2,0
90291,4,1.0,1,1
91941,2,3.1,1,0
92346,3,1.6,1,0
94304,3,0.7,1,0
94402,4,2.0,2,0
94618,2,2.1,3,0
92093,2,1.7,2,0
94305,1,1.5,3,1
95616,2,2.3,3,1
94904,4,2.0,1,1
94608,1,0.2,1,0
9307,4,0.6,3,1
93943,3,0.9,1,0
95051,4,1.7,2,0
95482,4,1.8,2,0
95814,4,3.4,3,0
90024,1,7.0,1,1
92521,1,0.2,1,0
94080,3,0.3,3,1
91709,4,1.8,3,0
90095,4,0.1,3,1
91311,4,3.4,1,1
94509,2,2.8,1,0
93023,4,0.1,1,0
90503,3,0.7,2,0
94608,2,0.4,1,0
90024,4,0.2,1,1
94542,3,6.6,1,0
95747,4,1.5,2,1
91604,1,4.9,1,1
92647,2,1.9,2,0
92866,3,0.5,2,0
90245,1,3.8,1,1
92354,1,2.4,1,0
93437,1,1.8,3,0
91745,2,2.8,1,0
90019,1,2.67,2,0
94111,2,3.3,1,1
92182,4,2.3,3,0
93311,4,1.9,3,0
92407,3,2.3,1,0
94309,3,1.9,2,1
93106,4,1.0,2,0
94304,2,0.4,1,0
90073,4,1.0,2,0
90089,4,1.0,3,0
94501,4,2.1,1,1
93105,4,3.6,3,1
92333,4,3.1,2,0
91380,2,6.3,1,0
95616,2,7.5,1,0
92029,1,0.2,1,0
90505,4,0.8,1,0
92182,3,2.33,1,1
92521,3,1.3,1,1
94720,2,1.0,1,1
94998,4,0.1,2,0
94086,1,1.3,3,0
94305,3,2.1,1,0
91311,1,5.7,1,0
91330,4,0.2,1,1
95819,1,1.8,2,0
94709,3,0.8,1,0
92122,3,1.4,3,0
95825,4,1.0,2,0
93943,2,3.8,2,1
94304,4,0.6,1,0
92626,2,1.5,1,0
93555,1,1.3,2,0
95136,1,3.0,3,0
90509,1,1.0,1,0
93106,2,0.0,3,1
94590,3,2.2,3,0
93108,1,1.0,1,1
95134,1,1.4,3,0
94588,4,2.0,2,1
91706,3,2.0,3,0
95747,1,0.3,1,1
94132,2,1.75,3,0
94022,3,0.2,2,0
92109,4,2.8,2,0
94110,3,0.9,3,0
91107,4,2.2,2,0
92068,3,0.5,2,0
94303,3,0.3,3,0
95841,1,1.0,1,1
91107,2,3.0,1,0
90277,2,2.1,1,1
92123,2,3.7,1,0
91423,3,8.3,3,0
94928,2,5.5,2,0
94305,4,3.6,3,1
94305,1,1.9,2,0
91342,2,0.9,3,0
90232,1,2.4,1,1
92634,1,0.5,3,0
94609,2,0.7,3,1
91006,4,1.8,2,0
91768,4,0.1,1,1
90007,4,0.3,1,0
93955,1,1.2,2,0
90028,2,6.9,1,0
92008,3,6.1,2,0
92717,1,0.8,2,1
95112,4,0.4,2,0
95060,2,3.3,1,1
92154,2,6.0,1,1
94998,3,1.6,3,1
94063,1,1.2,1,1
94022,1,4.6,2,0
90095,3,1.0,2,0
95023,2,0.2,1,1
95014,1,0.8,2,0
92173,2,3.7,1,0
94117,4,1.4,2,1
94122,3,2.8,1,0
91380,2,2.1,3,1
94303,2,2.7,1,0
92115,4,0.3,1,0
94596,4,1.3,1,0
94720,1,1.0,1,1
92647,2,8.0,1,0
94545,4,0.6,2,1
94301,2,0.4,3,0
90623,4,2.6,3,0
95023,1,2.1,3,1
93108,3,1.7,2,0
92177,2,0.3,1,0
90640,3,1.9,2,0
92833,1,0.1,2,0
94022,4,1.8,3,1
94720,3,2.0,3,0
94305,3,3.1,2,0
94608,3,0.9,3,0
91380,3,0.1,3,0
95521,2,0.7,3,0
90503,2,6.8,1,0
95136,1,1.3,2,0
94143,4,2.2,2,0
95035,3,3.0,1,1
94607,1,2.1,3,0
91730,3,0.3,3,0
92780,1,1.0,3,1
90009,3,1.7,2,0
92834,3,1.0,2,0
92677,1,1.8,2,0
95616,1,2.5,3,0
90024,4,1.2,2,1
92518,4,1.4,2,0
91007,1,2.8,1,0
93023,4,0.9,1,0
93014,4,0.2,1,0
94024,2,2.8,1,0
93106,1,6.33,1,1
90027,2,0.1,1,0
90089,4,0.2,1,0
95207,1,0.8,2,0
91706,2,0.2,1,1
90401,4,2.1,3,1
94305,2,2.8,1,1
92807,1,1.9,1,0
93117,2,0.6,3,0
94143,1,0.3,1,0
92173,3,2.4,2,0
90717,1,4.9,3,0
94534,1,0.4,2,1
94720,1,0.3,3,0
94010,4,2.3,3,0
95014,2,4.33,1,0
94709,3,0.1,1,0
94704,3,2.4,1,1
91614,2,7.8,1,0
94303,4,0.3,1,0
94025,3,2.6,3,0
94132,3,2.0,3,1
94117,1,1.4,3,1
94110,3,1.3,2,1
94301,3,0.3,2,1
93118,1,0.1,1,1
90024,4,2.2,1,0
91330,2,0.3,1,0
94720,2,7.2,1,0
92037,4,0.8,1,1
93105,3,0.3,3,0
95039,2,1.9,1,1
95064,4,2.0,2,0
95818,4,0.2,1,0
93943,1,3.7,3,0
94234,4,1.67,3,0
94035,1,0.8,2,1
94608,4,1.0,1,0
94904,1,0.6,3,0
90210,3,0.8,1,0
95060,3,3.6,3,1
95112,3,0.9,1,0
92101,2,0.1,1,1
95136,3,2.1,1,0
94928,3,6.5,2,0
94143,4,2.2,2,0
92333,1,3.4,1,0
95020,3,1.0,2,1
94709,2,2.0,2,1
91107,1,2.7,2,0
92870,3,0.3,3,1
94043,2,6.8,1,0
92124,3,2.5,2,1
93524,1,2.7,2,0
90049,4,0.4,3,1
94521,4,2.2,1,1
95678,1,0.7,3,0
95045,2,1.7,2,0
91604,1,3.4,1,0
92653,4,4.0,3,0
94305,2,0.4,1,1
93305,1,4.9,1,0
93117,2,2.5,1,1
92821,1,6.0,1,0
94612,4,2.1,3,0
92037,1,1.0,1,0
95051,4,2.0,3,1
90025,4,2.2,2,0
94143,1,0.0,1,0
92121,1,1.8,1,0
94022,1,3.5,3,0
92835,2,7.2,1,1
92374,2,0.2,3,0
94720,2,2.5,1,1
94143,2,0.5,1,0
91320,1,1.4,1,1
95035,2,0.6,1,0
94720,2,0.5,2,0
90245,4,2.2,1,1
91330,1,0.2,1,1
91741,3,0.9,2,0
95014,1,0.1,3,0
91910,4,1.7,2,0
91770,4,1.5,3,0
94132,3,1.8,2,0
94701,4,1.8,1,0
90095,1,1.3,1,1
94904,1,0.9,1,0
90034,1,8.6,1,1
93943,2,6.9,1,0
94025,2,1.4,3,1
94024,4,2.6,3,0
91320,2,0.7,3,0
93106,1,3.0,3,0
91129,4,2.9,2,0
91125,2,1.8,2,0
93555,2,1.9,1,0
95616,1,0.3,3,0
92821,2,1.67,2,0
95605,2,1.0,3,0
94305,1,0.2,3,1
92677,3,2.1,1,0
90071,1,1.3,2,0
91711,4,2.9,1,1
96651,3,1.3,1,1
94960,3,1.0,2,0
94720,4,2.7,3,0
94583,1,1.5,3,1
90034,3,1.4,1,1
90509,3,0.2,1,0
92037,2,6.1,1,0
90245,4,0.1,3,0
92054,3,1.5,1,0
92646,2,0.2,3,1
94960,1,3.7,3,0
95060,2,7.8,1,0
94132,1,0.3,1,0
91902,2,1.4,1,0
92121,2,2.0,2,0
95120,4,2.2,2,0
90033,4,1.7,1,0
95064,4,2.2,1,1
95621,1,1.3,2,0
92677,4,2.1,3,0
90037,1,5.1,3,0
92121,3,1.5,1,0
90005,1,2.8,1,0
92691,2,2.4,2,1
93940,4,4.2,3,0
91109,2,0.7,3,0
94539,1,2.8,3,0
95207,1,0.67,3,0
91711,3,0.9,3,0
93009,4,1.7,2,1
92126,2,3.3,1,0
94720,2,2.8,1,0
93561,3,2.0,2,0
90503,3,2.2,2,0
95126,1,1.8,3,1
92866,4,2.0,3,0
92120,1,2.4,1,1
93106,3,2.0,3,0
94010,3,0.5,1,0
94109,4,2.5,2,0
92374,4,2.6,1,0
92612,1,3.0,2,0
96651,1,0.2,1,0
95670,1,0.5,3,0
95827,3,2.1,1,0
91711,1,2.0,2,0
94063,1,0.9,3,1
92780,2,2.8,1,0
92101,4,1.8,3,0
92093,3,1.8,2,0
94706,3,1.5,1,1
94720,1,6.0,3,0
90504,1,0.1,2,1
91311,1,3.6,2,0
90266,1,2.4,1,0
93107,2,1.67,2,0
92612,4,0.6,2,0
92120,2,1.5,2,0
94304,4,1.9,1,0
94591,1,0.3,1,0
94115,2,1.6,3,0
90025,3,2.5,2,1
94720,1,1.0,3,0
92096,2,2.2,3,0
90740,1,3.8,1,0
92717,1,1.9,1,0
92251,2,1.0,3,0
92648,1,3.7,3,0
92028,1,2.5,3,0
95060,1,0.8,3,0
90089,2,1.8,1,1
93106,3,0.8,3,1
92709,3,4.0,1,0
94022,2,7.6,1,0
94065,1,7.4,1,0
94720,3,0.7,2,0
95819,1,4.7,1,0
95064,3,0.67,2,1
92182,3,1.3,1,0
95841,4,2.2,1,0
94085,3,0.9,3,1
91754,3,1.8,2,0
94123,2,0.3,2,0
92009,3,0.6,2,0
92068,3,2.0,2,0
92130,1,1.0,1,1
96064,4,0.4,2,1
93940,3,0.5,1,1
90024,2,0.2,3,1
92521,3,4.4,1,0
94025,1,2.2,3,0
92717,1,1.4,3,0
91103,3,1.2,2,1
94301,4,2.6,1,0
94086,1,2.0,1,0
92037,2,6.1,1,0
91030,4,2.1,1,0
92037,3,1.3,2,0
94720,2,4.4,2,0
93106,1,3.0,3,1
95616,1,7.0,1,0
90066,2,3.3,1,1
90064,1,1.9,1,0
92009,1,1.2,1,0
92182,2,1.1,1,1
95403,4,2.2,2,0
91016,3,3.3,3,0
94709,2,2.8,2,0
94596,4,2.2,2,0
91902,2,2.4,2,0
90266,1,8.1,1,0
94590,1,1.2,3,0
92626,1,2.5,1,0
94539,4,2.2,1,1
94720,2,2.8,1,0
93955,3,1.1,2,1
95051,4,3.4,2,0
94112,3,0.1,2,0
91330,1,1.0,1,0
92008,4,1.6,2,1
93106,2,4.33,1,0
90210,1,1.3,3,0
90071,4,0.6,2,0
94720,1,1.2,2,1
95020,2,1.9,1,1
91103,4,0.7,2,1
95348,4,1.3,3,0
91745,3,1.8,2,0
90266,1,1.5,2,0
91950,2,1.9,2,0
92122,3,1.1,2,0
92152,3,0.7,1,0
90504,1,2.7,2,0
94122,1,0.2,1,1
95051,2,1.7,2,1
95822,4,1.8,1,0
94538,1,2.8,1,0
92024,1,1.1,3,0
90024,2,1.7,1,0
90250,4,2.0,2,0
94551,2,6.9,2,0
91614,3,2.33,1,0
92093,1,4.1,3,1
92612,2,3.9,1,1
92154,1,0.2,1,1
92835,3,0.7,2,1
92121,2,4.6,3,0
95060,2,0.2,1,1
94801,2,0.7,2,0
94304,2,6.4,3,0
92634,4,0.8,1,1
94588,3,3.7,3,0
92056,3,6.0,3,1
94606,2,7.6,1,0
94115,2,6.3,1,0
94122,2,7.6,1,1
94305,2,2.5,1,0
91380,3,10.0,3,0
92521,4,0.7,1,0
92126,4,0.3,2,0
92028,4,0.9,1,1
94501,4,2.8,2,0
93117,1,4.0,3,1
94720,2,2.0,1,0
91301,2,2.3,3,0
92806,2,0.2,3,1
93657,2,2.5,1,0
94998,3,0.5,3,0
93063,1,2.0,2,0
95051,4,2.1,3,0
91040,1,6.0,1,0
92612,4,0.2,1,0
92521,3,2.0,1,0
92661,4,1.8,3,0
94061,4,0.7,2,0
95758,3,5.9,2,0
94542,4,1.5,3,0
92096,1,8.1,1,0
92068,3,2.2,1,0
94304,1,0.1,3,1
92182,2,2.0,3,0
94720,4,1.67,3,0
90089,4,2.2,2,0
94720,1,1.1,2,0
93943,2,0.1,1,1
94596,1,1.9,2,0
94035,3,0.7,2,1
90291,2,0.7,1,0
95039,4,1.1,2,1
90024,4,1.5,3,0
90740,1,0.3,1,0
92093,4,1.5,3,0
96091,3,1.4,3,0
90509,1,2.0,1,1
94801,4,2.4,1,0
95616,3,0.2,2,0
93555,3,0.67,2,0
94542,2,1.0,3,1
94542,4,1.0,1,0
90254,4,3.8,2,0
92407,3,0.7,2,0
94066,4,1.67,3,0
90630,4,1.2,2,0
94939,3,2.2,3,0
95138,4,5.4,1,0
92691,2,3.9,1,1
92123,3,3.0,1,1
92096,1,0.4,2,0
92507,4,1.9,3,0
92646,4,2.4,1,0
92373,2,0.2,1,1
94542,1,4.3,1,0
92101,3,2.0,1,0
94720,3,2.4,1,0
95762,1,0.8,3,0
94706,3,1.0,2,1
92154,1,2.7,1,0
94539,1,1.5,3,0
94720,4,0.9,2,0
94305,2,0.1,1,1
95054,1,0.2,1,0
94521,2,1.4,2,0
92064,1,0.6,3,1
95138,1,0.8,1,0
95814,1,2.6,2,0
92152,2,2.0,1,0
94025,1,1.8,3,0
95616,4,0.2,1,1
94720,3,0.5,2,0
92182,3,5.0,2,0
95841,2,0.7,2,0
92354,1,1.5,3,0
94025,2,1.0,2,0
90095,1,1.6,3,0
94080,1,0.1,2,0
92037,3,0.3,3,1
94611,4,1.9,1,0
94708,1,1.6,1,0
94596,2,3.3,1,1
93014,2,0.8,1,1
92106,3,0.5,1,0
96091,4,2.8,2,0
90095,4,0.8,1,0
90740,3,0.8,1,0
92056,4,2.1,3,1
95616,4,0.4,2,0
94025,2,2.8,1,0
95123,4,0.1,2,0
95616,4,4.0,3,0
91768,4,1.9,2,0
91604,1,0.2,1,0
92116,2,8.8,1,0
94117,1,1.7,1,0
92703,1,1.2,1,0
91709,2,1.1,2,0
94304,4,0.3,2,0
93907,3,2.0,2,0
94720,2,3.3,1,0
94114,2,3.3,3,0
91103,2,1.6,3,1
92780,4,1.5,3,0
94102,4,5.4,1,1
95616,2,2.4,2,0
93943,3,1.4,1,1
95064,4,2.2,1,1
94608,4,2.6,3,1
95133,3,3.4,1,0
92691,4,0.4,2,1
94111,4,0.7,1,0
91302,3,3.4,2,1
94709,4,0.2,1,1
95616,4,0.7,1,0
95054,2,1.6,1,0
90048,1,2.4,1,0
90503,4,1.8,2,0
94720,1,1.0,1,1
94720,2,2.0,1,0
91711,2,0.3,3,1
93023,4,1.67,3,1
91709,1,6.33,1,1
92120,1,1.8,3,1
94538,4,2.6,3,0
94105,1,2.6,2,0
92507,2,2.0,2,0
91711,3,0.4,1,1
94550,1,8.1,1,0
92192,2,3.2,1,0
90405,2,8.8,1,1
92325,3,0.5,3,0
91116,1,2.6,2,1
94501,3,2.4,2,0
92096,3,1.6,1,1
92868,1,0.3,1,0
95123,1,1.5,2,0
91330,4,0.1,3,0
94720,1,0.3,3,1
93940,4,0.4,2,0
95014,3,3.7,2,1
90638,4,1.3,1,0
92121,1,1.5,2,1
92103,3,0.1,2,0
91302,1,1.0,3,0
94720,3,1.8,2,1
92064,2,1.0,2,0
91320,2,0.0,3,0
95929,1,5.7,1,1
92109,1,1.5,3,0
92093,3,0.7,2,0
95818,4,0.4,2,0
93943,2,0.3,1,1
94303,1,4.7,3,0
92093,4,4.4,1,0
91320,4,0.7,2,1
94701,4,1.8,2,0
90503,4,1.5,3,1
91745,1,1.5,2,0
91355,4,2.1,3,0
94305,3,2.2,3,0
92037,1,2.9,3,1
94720,3,0.6,2,0
95054,4,1.8,2,0
94105,2,3.4,3,0
93943,2,7.6,1,1
92130,4,0.2,2,0
91107,2,5.2,3,0
90840,4,0.7,1,0
90250,1,2.0,1,0
94309,2,0.3,1,0
90747,4,2.6,3,1
94143,1,0.2,2,0
93611,2,3.3,1,1
94114,4,1.0,1,0
95833,1,0.0,1,0
94305,2,0.3,2,0
92037,4,2.3,3,0
94301,2,5.2,2,0
91605,2,1.6,3,0
92675,4,3.8,2,0
92868,1,2.7,2,1
94704,3,0.5,3,0
94928,2,3.7,1,0
92028,3,1.7,3,1
92093,2,1.7,1,0
92703,1,4.0,3,0
90401,3,2.2,1,0
92122,2,3.4,1,0
94109,4,0.2,1,0
95134,4,1.1,2,0
92068,1,0.8,3,1
94720,4,0.1,3,1
92697,1,1.0,3,1
90064,3,2.3,2,1
94402,3,0.5,2,1
92220,2,3.3,1,0
92173,1,0.4,3,0
92120,1,4.7,1,1
90245,4,4.9,1,0
94609,2,2.8,1,0
94998,1,1.9,2,0
94607,3,0.5,3,0
94002,4,3.4,1,0
94025,4,1.5,3,1
94608,1,0.0,1,0
91775,1,3.6,2,0
90650,1,1.8,2,0
94305,2,1.6,3,1
92037,2,1.67,2,0
92780,3,2.1,1,0
93106,1,2.8,2,0
92120,1,1.5,2,1
92691,4,0.7,1,0
90717,4,2.1,1,0
95617,2,0.4,3,0
94720,4,0.0,1,0
95054,4,2.0,3,0
95112,2,0.0,1,0
91103,1,2.5,1,0
95064,3,3.5,3,0
92220,1,7.3,1,0
91330,2,0.9,3,0
95616,2,2.5,1,1
94304,2,0.7,2,0
95820,1,1.3,2,1
94551,3,2.1,1,0
90245,2,1.8,3,1
94303,1,0.8,2,0
94720,1,0.8,2,0
94305,4,1.3,3,0
90018,2,0.6,3,0
91745,4,0.3,2,0
90071,1,1.5,2,0
92612,2,1.0,2,1
95605,1,3.3,2,0
94117,1,7.0,1,0
93711,4,0.2,2,0
94545,3,1.5,1,0
95616,3,0.1,2,0
94550,1,4.6,1,0
92096,4,2.5,3,0
94720,1,1.4,3,0
90024,4,1.7,3,1
95403,1,0.1,2,0
94720,3,0.7,2,1
95973,2,0.3,1,0
90095,3,2.1,1,0
94720,4,2.6,3,0
94720,4,0.9,1,1
93106,1,2.4,2,0
95831,4,5.7,2,1
94304,2,1.1,3,0
91107,4,1.8,3,0
92780,4,1.5,1,0
95616,4,1.67,3,0
95630,3,0.4,1,0
95827,1,0.2,2,1
92096,1,4.0,3,0
94105,4,0.4,2,0
94143,4,1.6,2,0
95747,3,0.5,1,0
94501,4,0.2,3,0
90095,2,6.1,3,1
92886,4,0.2,1,0
95812,3,2.2,2,1
95819,1,2.8,2,0
95136,4,0.6,2,0
95630,1,1.0,1,0
95020,1,0.67,3,0
95503,2,1.75,3,0
94105,2,0.2,3,0
91203,1,0.1,2,1
93111,1,0.1,1,1
91105,1,1.4,3,0
92220,1,3.8,1,0
90024,3,1.4,1,1
95008,3,6.9,2,0
90401,3,2.5,1,1
90016,4,0.5,3,0
95035,1,1.7,1,0
90035,3,1.2,3,0
91203,2,3.5,1,0
90840,2,1.0,2,0
94005,3,0.5,3,0
90089,2,4.5,3,0
